x_axis,y_value,y_error_low,y_error_high
1.05097154607813,0.040000085,0.050472478,0.050472478
1.033882611056,0.23497528,0.022201142,0.022201142
1.0167647358472,0.23280078,0.02158155,0.02158155
0.999619039353348,0.14416417,0.0064621466,0.0064621466
0.982457046271555,0.13014334,0.0043523145,0.0043523145
0.965267531131619,0.050569044,0.0022783817,0.0022783817
0.948054260341611,0.39610457,0.011069115,0.011069115
0.930826727937688,0.27174076,0.0085222826,0.0085222826
0.913576951410328,0.3085325,0.020953619,0.020953619
0.896308801106114,0.31441395,0.010543341,0.010543341
0.857889340614985,0.21443426,0.014646255,0.014646255
0.769336840245665,0.45078146,0.019309311,0.019309311
0.674913441415624,0.68489055,0.028408416,0.028408416
0.559457038694072,0.47649931,0.010428124,0.010428124
0.398754210022589,0.5990651,0.026318807,0.026318807
0.317306341148128,0.72643033,0.035163839,0.035163839
0.276018424554861,0.63840144,0.016654973,0.016654973
0.166377989033112,0.77815296,0.029369514,0.029369514
0.11713288922977,0.7796858,0.024296755,0.024296755
0.192875806673583,0.885,0.31108589,0.31108589
0.2725815641949,0.87827824,0.034614079,0.034614079
0.354329749382681,0.84787463,0.053610522,0.053610522
1.05097154607813,0.040000085,0.050472478,0.050472478
1.033882611056,0.23497528,0.022201142,0.022201142
1.0167647358472,0.23280078,0.02158155,0.02158155
0.999619039353348,0.14416417,0.0064621466,0.0064621466
0.982457046271555,0.13014334,0.0043523145,0.0043523145
0.965267531131619,0.050569044,0.0022783817,0.0022783817
0.948054260341611,0.39610457,0.011069115,0.011069115
0.930826727937688,0.27174076,0.0085222826,0.0085222826
0.913576951410328,0.3085325,0.020953619,0.020953619
0.896308801106114,0.31441395,0.010543341,0.010543341
0.857889340614985,0.21443426,0.014646255,0.014646255
0.769336840245665,0.45078146,0.019309311,0.019309311
0.674913441415624,0.68489055,0.028408416,0.028408416
0.559457038694072,0.47649931,0.010428124,0.010428124
0.398754210022589,0.5990651,0.026318807,0.026318807
0.317306341148128,0.72643033,0.035163839,0.035163839
0.276018424554861,0.63840144,0.016654973,0.016654973
0.166377989033112,0.77815296,0.029369514,0.029369514
0.11713288922977,0.7796858,0.024296755,0.024296755
0.192875806673583,0.885,0.31108589,0.31108589
0.2725815641949,0.87827824,0.034614079,0.034614079
0.354329749382681,0.84787463,0.053610522,0.053610522
